latitude,longitude
45.45722,9.15128
45.44569,9.16179
45.49995,9.21141
45.4864,9.21533
45.46443,9.23015
45.45101,9.19769
45.45217,9.14737
45.45712,9.17069
45.47335,9.22808
45.46749,9.21122
45.46077,9.15304
45.48217,9.20485
45.45914,9.15127
45.47165,9.14361
45.49525,9.18957
45.48366,9.18526
45.47379,9.21755
45.50254,9.19749
45.44088,9.14585
45.46926,9.19009
45.45642,9.15472
45.49815,9.09948
45.46764,9.13703
45.48023,9.17487
45.4547,9.21845
45.44887,9.2032
45.48957,9.21284
45.49189,9.21204
45.45025,9.2109
45.51922,9.21311
45.4814,9.24321
45.48573,9.20727
45.50715,9.17677
45.47837,9.1704
45.46258,9.15152
45.48155,9.1599
45.48802,9.16894
45.45075,9.20338
45.48749,9.15553
45.48484,9.20625
45.45733,9.15891
45.48404,9.20433
45.49364,9.2213
45.4844,9.15349
45.45863,9.13833
45.4677,9.15094
45.46181,9.15728
45.47651,9.19513
45.48356,9.16438
45.46353,9.16976
45.47092,9.2356
45.47317,9.22395
45.47527,9.16158
45.48475,9.20626
45.48279,9.22364
45.50067,9.14684
45.43875,9.20004
45.43207,9.1991
45.46749,9.21122
45.46962,9.19992
45.46732,9.14272
45.46437,9.16769
45.44368,9.18446
45.45898,9.18782
45.46667,9.13372
45.48544,9.20707
45.48309,9.16454
45.48419,9.20047
45.47039,9.23008
45.48482,9.20643
45.44887,9.2032
45.44991,9.19561
45.43614,9.17955
45.48872,9.20018
45.48008,9.18196
45.48471,9.20619
45.45365,9.14969
45.4829,9.1437
45.46541,9.13108
45.48707,9.13127
45.48963,9.15412
45.48733,9.20085
45.44722,9.13728
45.4472,9.14373
45.47028,9.13982
45.47158,9.13928
45.49943,9.14257
45.49859,9.15307
45.46853,9.12764
45.4874,9.2036
45.48023,9.17487
45.47223,9.16703
45.44595,9.2215
45.48437,9.20453
45.46226,9.15339
45.48021,9.17099
45.49212,9.16367
45.48801,9.17189
45.45788,9.21258
45.47723,9.19189
45.46703,9.20865
45.46602,9.1887
45.44997,9.2199
45.43523,9.23616
45.44554,9.18232
45.48418,9.20449
45.51735,9.15515
45.46212,9.1354
45.46242,9.15032
45.44528,9.21337
45.46223,9.20519
45.4614,9.19122
45.47137,9.14646
45.41315,9.17518
45.47005,9.15258
45.47091,9.22966
45.4903,9.19487
45.47976,9.19136
45.48302,9.18102
45.47352,9.14952
45.47189,9.15365
45.46832,9.15217
45.48996,9.22165
45.4857,9.20728
45.45574,9.20997
45.48428,9.2045
45.45712,9.17069
45.44879,9.22077
45.48403,9.18006
45.48224,9.23937
45.47453,9.21117
45.48421,9.20471
45.4731,9.14392
45.46184,9.1893
45.47533,9.14235
45.48427,9.20471
45.47275,9.2196
45.4695,9.19986
45.46203,9.15105
45.47621,9.14431
45.47911,9.21918
45.48077,9.19376
45.43665,9.18563
45.47114,9.20171
45.4458,9.21686
45.43751,9.23287
45.51977,9.21117
45.49153,9.16194
45.50679,9.16322
45.48511,9.20721
45.45125,9.1691
45.48672,9.18585
45.47704,9.14483
45.48201,9.1592
45.51264,9.12928
45.49825,9.13401
45.47091,9.1524
