coords,origin_id
9.181180263276293-45.40385583645003,0
9.21316744497832-45.40385583645003,1
9.21316744497832-45.40385583645003,1
9.21316744497832-45.40385583645003,1
9.270744372041976-45.40385583645003,2
9.219575818459198-45.40834750935008,3
9.219575818459198-45.40834750935008,3
9.25796348872688-45.40834750935008,4
9.270759378816107-45.40834750935008,5
9.245180573660912-45.41283918225013,6
9.257977481399024-45.41283918225013,7
9.270774389137134-45.41283918225013,8
9.277188365819848-45.41733085515019,9
9.277188365819848-45.41733085515019,9
9.283587328633612-45.41733085515019,10
9.334779031143738-45.41733085515019,11
9.334779031143738-45.41733085515019,11
9.449960361791517-45.41733085515019,12
9.449960361791517-45.41733085515019,12
9.449960361791517-45.41733085515019,12
9.449960361791517-45.41733085515019,12
9.258005476666428-45.42182252805024,13
9.258019479263616-45.42631420095029,14
9.264419460327746-45.42631420095029,15
9.277219422456009-45.42631420095029,16
9.277219422456009-45.42631420095029,16
9.32841927096906-45.42631420095029,17
9.32841927096906-45.42631420095029,17
9.32841927096906-45.42631420095029,17
9.424418986931032-45.42631420095029,18
9.424418986931032-45.42631420095029,18
9.226031033321783-45.430805873850346,19
9.232431523691645-45.430805873850346,20
9.277234956280644-45.430805873850346,21
9.2836354466505-45.430805873850346,22
9.315637898499787-45.430805873850346,23
9.322038388869643-45.430805873850346,24
9.322038388869643-45.430805873850346,24
9.3284388792395-45.430805873850346,25
9.3284388792395-45.430805873850346,25
9.3284388792395-45.430805873850346,25
9.3284388792395-45.430805873850346,25
9.33483936960936-45.430805873850346,26
9.405244763677787-45.430805873850346,27
9.405244763677787-45.430805873850346,27
9.219641495613816-45.435297546750405,28
9.219641495613816-45.435297546750405,28
9.219641495613816-45.435297546750405,28
9.2324434952058-45.435297546750405,29
9.238844495001793-45.435297546750405,30
9.238844495001793-45.435297546750405,30
9.238844495001793-45.435297546750405,30
9.264448494185755-45.435297546750405,31
9.264448494185755-45.435297546750405,31
9.264448494185755-45.435297546750405,31
9.270849493981748-45.435297546750405,32
9.270849493981748-45.435297546750405,32
9.27725049377774-45.435297546750405,33
9.27725049377774-45.435297546750405,33
9.27725049377774-45.435297546750405,33
9.27725049377774-45.435297546750405,33
9.27725049377774-45.435297546750405,33
9.27725049377774-45.435297546750405,33
9.27725049377774-45.435297546750405,33
9.27725049377774-45.435297546750405,33
9.28365149357373-45.435297546750405,34
9.28365149357373-45.435297546750405,34
9.28365149357373-45.435297546750405,34
9.28365149357373-45.435297546750405,34
9.28365149357373-45.435297546750405,34
9.28365149357373-45.435297546750405,34
9.28365149357373-45.435297546750405,34
9.28365149357373-45.435297546750405,34
9.28365149357373-45.435297546750405,34
9.28365149357373-45.435297546750405,34
9.290052493369725-45.435297546750405,35
9.290052493369725-45.435297546750405,35
9.290052493369725-45.435297546750405,35
9.290052493369725-45.435297546750405,35
9.290052493369725-45.435297546750405,35
9.290052493369725-45.435297546750405,35
9.290052493369725-45.435297546750405,35
9.290052493369725-45.435297546750405,35
9.290052493369725-45.435297546750405,35
9.290052493369725-45.435297546750405,35
9.290052493369725-45.435297546750405,35
9.290052493369725-45.435297546750405,35
9.290052493369725-45.435297546750405,35
9.290052493369725-45.435297546750405,35
9.290052493369725-45.435297546750405,35
9.296453493165714-45.435297546750405,36
9.302854492961703-45.435297546750405,37
9.309255492757696-45.435297546750405,38
9.315656492553687-45.435297546750405,39
9.315656492553687-45.435297546750405,39
9.315656492553687-45.435297546750405,39
9.315656492553687-45.435297546750405,39
9.315656492553687-45.435297546750405,39
9.315656492553687-45.435297546750405,39
9.315656492553687-45.435297546750405,39
9.315656492553687-45.435297546750405,39
9.315656492553687-45.435297546750405,39
9.315656492553687-45.435297546750405,39
9.32205749234968-45.435297546750405,40
9.32205749234968-45.435297546750405,40
9.32205749234968-45.435297546750405,40
9.32205749234968-45.435297546750405,40
9.32205749234968-45.435297546750405,40
9.32205749234968-45.435297546750405,40
9.32205749234968-45.435297546750405,40
9.32205749234968-45.435297546750405,40
9.32205749234968-45.435297546750405,40
9.328458492145671-45.435297546750405,41
9.328458492145671-45.435297546750405,41
9.328458492145671-45.435297546750405,41
9.328458492145671-45.435297546750405,41
9.328458492145671-45.435297546750405,41
9.334859491941662-45.435297546750405,42
9.334859491941662-45.435297546750405,42
9.341260491737652-45.435297546750405,43
9.347661491533646-45.435297546750405,44
