latitude,longitude
45.49819,9.22691
45.48548,9.2022
45.46477,9.21469
45.48466,9.21589
45.45845,9.21128
45.45484,9.20875
45.44111,9.19158
45.48471,9.19634
45.48492,9.19628
45.45472,9.17699
45.48486,9.19624
45.46614,9.14691
45.45767,9.18433
45.50108,9.19839
45.45624,9.20983
45.45313,9.17338
45.46576,9.15724
45.48351,9.23272
45.48655,9.23339
45.45105,9.20812
45.48382,9.1802
45.45974,9.17111
45.48381,9.1803
45.48255,9.23658
45.46653,9.21314
45.44249,9.13388
45.47847,9.18765
45.48756,9.17091
45.49348,9.18486
45.45783,9.17363
45.45616,9.17745
45.44831,9.18887
45.45988,9.18274
45.47158,9.15725
45.46491,9.17985
45.46799,9.21125
45.47806,9.17618
45.44853,9.20662
45.50893,9.20497
45.47432,9.19334
45.46006,9.17669
45.45216,9.18363
45.48502,9.23407
45.4805,9.19086
45.4482,9.20293
45.44712,9.15215
45.4873,9.2097
45.47871,9.14283
45.45616,9.16997
45.4471,9.17803
45.47848,9.18776
45.48041,9.20455
45.45924,9.19255
45.45988,9.18274
45.47802,9.18298
45.4545,9.16708
45.45739,9.21273
45.4837,9.17321
45.43972,9.21339
45.45217,9.1836
45.4521,9.18227
45.4487,9.20657
45.46772,9.15132
45.48874,9.18912
45.4658,9.19331
45.50636,9.19783
45.45604,9.18443
45.52404,9.19259
45.48413,9.19976
45.46669,9.15779
45.47399,9.21301
45.47074,9.12705
45.50605,9.20012
45.45974,9.17111
45.48569,9.20715
45.44111,9.19158
45.50002,9.21415
45.48302,9.16947
45.45217,9.1836
45.47676,9.18529
45.4499,9.1904
45.48119,9.23613
45.48205,9.22881
45.50163,9.20972
45.48568,9.1344
45.48718,9.20047
45.47295,9.16837
45.4521,9.18227
45.4847,9.20624
45.45134,9.16904
45.44453,9.17677
45.45431,9.21087
45.48548,9.21587
45.47399,9.21301
45.4837,9.17321
45.44088,9.14585
45.44722,9.13728
45.4855,9.20599
45.46099,9.155
45.48749,9.15553
45.47038,9.18329
45.47887,9.21674
45.45458,9.22429
45.48611,9.20662
45.46788,9.1784
45.48921,9.14251
45.47704,9.14483
45.46241,9.27726
45.46603,9.18053
45.46241,9.27726
45.46808,9.16441
45.41738,9.26445
45.48401,9.19961
45.4843,9.20465
45.49297,9.15619
45.48481,9.20616
45.50022,9.14627
45.47777,9.14678
45.46241,9.27726
45.48624,9.20674
45.46241,9.27726
45.4903,9.19487
45.46815,9.17393
45.48445,9.2046
45.46241,9.27726
45.51618,9.18889
45.48534,9.20634
45.47886,9.20337
45.45211,9.24131
45.48369,9.18522
45.48428,9.20469
45.46241,9.27726
45.44569,9.16179
45.4864,9.21533
45.46191,9.15703
45.49529,9.18939
45.45712,9.17069
45.49559,9.16347
45.45101,9.19769
45.48637,9.20711
45.46241,9.27726
45.46749,9.21122
45.47165,9.14361
45.48217,9.20485
45.50254,9.19749
45.48366,9.18526
45.46926,9.19009
45.49815,9.09948
45.48023,9.17487
45.44887,9.2032
45.49189,9.21204
45.45075,9.20338
45.47837,9.1704
45.48155,9.1599
45.48573,9.20727
45.51922,9.21311
45.44368,9.18446
45.48484,9.20625
45.48404,9.20433
45.4677,9.15094
45.4844,9.15349
45.49673,9.14716
45.46353,9.16976
45.47651,9.19513
45.48475,9.20626
45.47317,9.22395
45.50067,9.14684
