latitude,longitude
45.49541,9.17622
45.44914,9.18831
45.48924,9.14266
45.48474,9.16935
45.46694,9.13951
45.46075,9.15821
45.49947,9.18591
45.49059,9.18351
45.4574,9.19163
45.47583,9.20847
45.45214,9.18864
45.48756,9.16979
45.46999,9.13115
45.46914,9.1874
45.45482,9.17199
45.48108,9.20325
45.45716,9.18011
45.4704,9.19785
45.45897,9.17962
45.47866,9.16036
45.47865,9.17229
45.46027,9.18103
45.46241,9.27726
45.46653,9.1505
45.47741,9.22356
45.45227,9.20002
45.46865,9.20144
45.45598,9.16244
45.44846,9.16267
45.45632,9.16217
45.47032,9.22627
45.48517,9.19788
45.49228,9.16575
45.46494,9.23247
45.48484,9.19618
45.51584,9.2115
45.44489,9.17274
45.45704,9.17743
45.47762,9.22126
45.48393,9.14257
45.46175,9.20757
45.45052,9.20705
45.47915,9.20286
45.48097,9.19094
45.45253,9.14426
45.47078,9.16253
45.49355,9.14509
45.45004,9.17264
45.47857,9.20156
45.47088,9.21579
45.4791,9.19257
45.48236,9.22521
45.46374,9.15891
45.47406,9.147
45.47396,9.2182
45.46861,9.21467
45.46168,9.08674
45.44523,9.15677
45.44542,9.14548
45.44854,9.16903
45.4527,9.15935
45.47752,9.18802
45.46699,9.15214
45.48411,9.17209
45.47452,9.20871
45.488,9.23287
45.45758,9.20918
45.48242,9.16286
45.4847,9.16435
45.44035,9.17506
45.46014,9.1862
45.4714,9.19215
45.47879,9.19246
45.43542,9.23648
45.46482,9.16195
45.4677,9.18082
45.47003,9.15905
45.4572,9.19103
45.48322,9.16757
45.48377,9.2125
45.47374,9.21297
45.46704,9.15322
45.44291,9.18129
45.4907,9.19747
45.48342,9.16486
45.44712,9.16194
45.46431,9.16088
45.4554,9.22315
45.44472,9.15876
45.4665,9.22144
45.48387,9.19811
45.46771,9.21368
45.48253,9.18397
45.48068,9.22472
45.46722,9.15301
45.47334,9.23
45.47319,9.19683
45.48075,9.18436
45.46727,9.22591
45.49337,9.18417
45.46768,9.17853
45.45771,9.17625
45.43645,9.22231
45.46498,9.17984
45.47665,9.19381
45.4884,9.16057
45.4774,9.20028
45.47793,9.21933
45.45156,9.21955
45.47194,9.23447
45.44994,9.17757
45.47194,9.14754
45.49585,9.16335
45.4611,9.15728
45.44171,9.17907
45.44473,9.17417
45.46501,9.21473
45.45329,9.20941
45.48688,9.18493
45.44773,9.17956
45.46094,9.20617
45.46803,9.16795
45.49287,9.1846
45.49438,9.21536
45.48103,9.19083
45.44196,9.20963
45.47577,9.17063
45.4755,9.15326
45.46928,9.2148
45.45153,9.22078
45.45628,9.21149
45.47741,9.20793
45.49828,9.19577
45.44725,9.15297
45.45387,9.20352
45.46998,9.16529
45.46883,9.19034
45.45736,9.16152
45.4888,9.21314
45.4572,9.19103
45.45209,9.18051
45.48952,9.21766
45.45441,9.20609
45.47118,9.18294
45.48503,9.19463
45.50776,9.19555
45.44136,9.19241
45.45221,9.20816
45.45639,9.16212
45.45833,9.15305
45.45662,9.13839
45.46681,9.15175
45.49523,9.21685
45.49091,9.18906
45.45524,9.20121
45.44879,9.21352
45.45565,9.20672
45.49552,9.22122
45.47423,9.20763
45.50135,9.19852
45.48219,9.22894
45.50483,9.19939
45.46308,9.20516
45.4588,9.18418
45.4784,9.16253
45.4638,9.15038
45.40167,9.1465
45.49345,9.20306
45.47006,9.21608
45.47425,9.18995
45.45892,9.18479
45.47451,9.21492
45.4872,9.20248
45.45787,9.20541
45.45225,9.24115
45.46232,9.15202
45.46822,9.13048
45.49831,9.1185
45.48859,9.20183
45.45286,9.1947
45.484,9.16738
45.49586,9.21623
45.45819,9.15552
45.46417,9.18633
45.45895,9.20641
45.45079,9.17159
45.50165,9.16243
45.44781,9.2026
45.4622,9.23405
45.46885,9.15071
45.45855,9.21305
45.4419,9.22432
45.4489,9.20151
45.48944,9.20155
45.47319,9.19683
45.47747,9.18607
45.49024,9.20688
45.4588,9.18418
45.48435,9.17179
45.43586,9.17816
45.47108,9.23513
45.45713,9.20527
45.46672,9.22277
45.44482,9.17413
45.45268,9.16436
45.46782,9.12653
45.48396,9.16372
45.46774,9.23225
45.47034,9.22628
45.452,9.19334
