latitude,longitude
45.48534,9.20634
45.47886,9.20337
45.45211,9.24131
45.48369,9.18522
45.48428,9.20469
45.46241,9.27726
45.44569,9.16179
45.4864,9.21533
45.46191,9.15703
45.49529,9.18939
45.45712,9.17069
45.49559,9.16347
45.45101,9.19769
45.48637,9.20711
45.46241,9.27726
45.46749,9.21122
45.47165,9.14361
45.48217,9.20485
45.50254,9.19749
45.48366,9.18526
45.46926,9.19009
45.49815,9.09948
45.48023,9.17487
45.44887,9.2032
45.49189,9.21204
45.45075,9.20338
45.47837,9.1704
45.48155,9.1599
45.48573,9.20727
45.51922,9.21311
45.44368,9.18446
45.48484,9.20625
45.48404,9.20433
45.4677,9.15094
45.4844,9.15349
45.49673,9.14716
45.46353,9.16976
45.47651,9.19513
45.48475,9.20626
45.47317,9.22395
45.50067,9.14684
45.43207,9.1991
45.46967,9.22663
45.46962,9.19992
45.46437,9.16769
45.48683,9.2009
45.45898,9.18782
45.444,9.18249
45.45034,9.1514
45.48544,9.20707
45.48419,9.20047
45.48482,9.20643
45.44282,9.17184
45.44991,9.19561
45.48872,9.20018
45.48471,9.20619
45.4829,9.1437
45.48707,9.13127
45.50702,9.16797
45.48733,9.20085
45.4472,9.14373
45.47158,9.13928
45.47223,9.16703
45.4874,9.2036
45.49859,9.15307
45.45057,9.20256
45.48437,9.20453
45.48021,9.17099
45.48801,9.17189
45.48421,9.20449
45.47723,9.19189
45.46602,9.1887
45.43523,9.23616
45.48418,9.20449
45.46212,9.1354
45.47334,9.21874
45.4614,9.19122
45.44528,9.21337
45.41315,9.17518
45.46376,9.13846
45.47976,9.19136
45.47091,9.22966
45.47352,9.14952
45.44879,9.22077
45.4857,9.20728
45.48428,9.2045
45.48165,9.16766
45.48224,9.23937
45.48421,9.20471
45.46184,9.1893
45.48427,9.20471
45.4695,9.19986
45.46832,9.15217
45.48077,9.19376
45.47621,9.14431
45.47114,9.20171
45.43751,9.23287
45.48511,9.20721
45.49153,9.16194
45.48672,9.18585
45.48201,9.1592
45.49491,9.17298
45.49825,9.13401
45.45538,9.21412
45.46177,9.20458
45.49554,9.18143
45.45982,9.20273
45.46815,9.16077
45.46153,9.20227
45.50714,9.18583
45.45747,9.1509
45.46113,9.20681
45.46317,9.19936
45.48543,9.20709
45.46037,9.17516
45.46688,9.16964
45.48543,9.20708
45.48599,9.20765
45.47978,9.1913
45.48432,9.20456
45.47516,9.21795
45.50284,9.16085
45.45803,9.24231
45.4356,9.18586
45.45425,9.19503
45.46695,9.16821
45.48198,9.15607
45.48455,9.20604
45.48424,9.20452
45.48539,9.20702
45.48097,9.19095
45.44879,9.22077
45.43793,9.16595
45.46513,9.16822
45.47479,9.18175
45.51252,9.12709
45.48503,9.16925
45.48453,9.21878
45.46201,9.22417
45.48541,9.20623
45.48438,9.20465
45.48476,9.14325
45.46227,9.21865
45.47481,9.22117
45.46682,9.18368
45.44921,9.21171
45.47714,9.19995
45.48455,9.2048
45.47137,9.19218
45.45935,9.1905
45.48374,9.22652
45.45735,9.22054
45.47067,9.19234
45.46113,9.20231
45.48235,9.20497
45.43315,9.19792
45.46892,9.16562
45.49696,9.2111
45.48169,9.18942
45.4676,9.21979
45.49775,9.16753
45.45618,9.21919
45.47715,9.19395
45.46546,9.21975
45.4527,9.15518
45.48252,9.18619
45.47006,9.16529
45.46913,9.22311
45.43813,9.17508
45.45136,9.16143
45.48418,9.20679
45.4939,9.15574
45.45257,9.18873
45.48547,9.18995
45.48818,9.21201
45.46652,9.18107
45.46534,9.18225
45.46695,9.1683
45.46648,9.18909
45.47652,9.18844
45.48735,9.20369
45.46766,9.19447
45.46553,9.21609
45.49722,9.19761
45.46065,9.19137
45.46444,9.19802
45.45815,9.1339
45.48532,9.20653
45.4599,9.09941
45.44481,9.14627
45.45747,9.1509
45.4438,9.18168
45.45993,9.20274
45.49886,9.1038
45.46093,9.21279
45.49752,9.16813
45.46136,9.17983
45.4805,9.1185
45.46611,9.18223
45.48524,9.2067
45.48411,9.20469
45.44744,9.17854
45.45458,9.22429
45.48859,9.23435
45.44916,9.1888
45.46241,9.27726
45.43819,9.21977
45.46368,9.1672
45.44772,9.18328
45.46931,9.22198
45.48477,9.20542
45.48573,9.19897
45.49491,9.1409
45.476,9.19197
45.46995,9.14928
45.45034,9.1514
45.45128,9.1617
45.47091,9.20146
45.458,9.13371
45.46931,9.17134
45.44062,9.18508
45.46099,9.19874
45.48016,9.19577
45.47334,9.22684
45.49559,9.16347
45.43464,9.2413
45.4753,9.15653
45.4617,9.16118
45.47071,9.19758
45.46677,9.19812
45.50254,9.19749
45.46927,9.21093
45.44066,9.19968
45.46201,9.22417
45.46651,9.19541
45.44892,9.18655
45.4699,9.16132
45.4332,9.18064
45.47326,9.18742
45.45944,9.20607
45.49318,9.21456
45.48736,9.16139
45.48704,9.20308
45.49303,9.15701
45.47927,9.17494
45.4606,9.1519
45.47832,9.19813
45.4647,9.17824
45.47091,9.19504
45.49735,9.16466
45.44857,9.12427
45.47927,9.22956
45.45876,9.19085
45.47153,9.15985
45.46386,9.18515
45.44836,9.1903
45.47571,9.18944
45.45113,9.16553
45.40161,9.14651
45.47286,9.1869
45.48201,9.2212
45.48463,9.20596
45.45632,9.16216
45.48475,9.20605
45.51051,9.21068
45.47254,9.20307
45.44911,9.11924
45.46448,9.16011
45.49117,9.1924
45.45975,9.17749
45.44921,9.21171
45.50198,9.17558
45.49142,9.16176
45.46177,9.20458
45.47571,9.18944
45.49303,9.15701
45.4604,9.18403
45.45944,9.20607
45.45096,9.1595
45.46376,9.23334
45.48379,9.18025
45.46314,9.15252
45.46651,9.19541
45.47115,9.16556
45.48818,9.21201
45.50067,9.14684
45.44814,9.21603
45.48885,9.1547
45.46201,9.22417
45.4354,9.20073
45.43787,9.18291
45.48517,9.21576
45.49803,9.15053
45.4672,9.14855
45.45876,9.19085
45.45904,9.13306
45.43796,9.17808
45.47029,9.22898
45.47715,9.19395
45.4915,9.16191
45.47074,9.22464
45.49551,9.21611
45.48366,9.18526
45.49565,9.12929
45.43915,9.18013
45.47425,9.22922
45.46181,9.18167
45.49395,9.16541
45.43869,9.16481
45.48246,9.16876
45.44655,9.18732
45.46136,9.17983
45.43619,9.20605
45.49491,9.1409
45.4647,9.17824
45.44871,9.21365
45.48726,9.19854
45.46688,9.16964
45.476,9.19197
45.45975,9.17749
45.46892,9.16562
45.43315,9.19792
45.43364,9.17778
45.46448,9.16011
45.50497,9.12539
45.51618,9.18889
45.49836,9.14137
45.48394,9.18024
45.47326,9.18742
45.48397,9.18009
45.4714,9.16344
45.46098,9.22786
45.49277,9.15929
45.51838,9.22649
45.46022,9.14167
45.50147,9.17804
45.46736,9.22583
45.49892,9.23787
45.45124,9.16897
45.46641,9.22378
45.4594,9.21759
45.44895,9.13094
45.48857,9.15469
45.46386,9.18515
45.46192,9.14302
45.46287,9.16488
45.48677,9.23638
45.48712,9.15252
45.49202,9.15065
45.48736,9.16139
45.45117,9.16897
45.47317,9.22395
45.47801,9.14105
45.48109,9.22629
45.43377,9.17876
45.48475,9.20626
45.49867,9.153
45.44715,9.14544
45.47482,9.24804
45.44481,9.14627
45.47678,9.22367
45.49143,9.15698
45.45103,9.15931
45.47927,9.22956
45.44772,9.18328
45.46277,9.13889
45.46113,9.20231
45.45815,9.1339
45.49693,9.22485
45.48169,9.18942
45.45954,9.21177
45.47307,9.22389
45.48235,9.20497
45.46314,9.13336
45.48217,9.20485
45.43513,9.19821
45.47334,9.22684
45.45747,9.1509
45.4635,9.22162
45.46241,9.27726
45.47267,9.22855
45.44135,9.22125
45.49752,9.16813
45.45715,9.21938
45.43855,9.1531
45.43926,9.18669
45.46931,9.13723
45.45572,9.24897
45.44892,9.18655
45.48735,9.20369
45.4699,9.16132
45.46513,9.16822
45.49897,9.14616
45.48432,9.20456
45.48628,9.15887
45.48704,9.20308
45.46791,9.2201
45.48528,9.21573
45.48463,9.20596
45.48511,9.21566
45.48497,9.16915
45.46677,9.19812
45.45016,9.2414
45.4852,9.16894
45.48051,9.19083
45.48235,9.18765
45.47091,9.20146
45.47479,9.18175
45.49546,9.1812
45.50593,9.16102
45.46294,9.17179
45.49578,9.21653
45.45598,9.21989
45.44709,9.18707
45.4339,9.17972
45.50762,9.2007
45.44338,9.1801
45.46072,9.22634
45.47652,9.18844
45.458,9.13371
45.44711,9.2162
45.44348,9.12663
45.49326,9.16245
45.52087,9.21523
45.4457,9.16487
45.4472,9.14373
45.48437,9.20453
45.49775,9.16753
45.48495,9.16877
45.46652,9.18107
45.4438,9.18168
45.48049,9.19087
45.46682,9.18368
45.46808,9.16441
45.49485,9.13438
45.4607,9.14266
45.47332,9.13919
45.48529,9.16895
45.46241,9.27726
45.46371,9.16414
45.49317,9.15909
45.48521,9.21566
45.48401,9.19961
45.43906,9.1724
45.50118,9.13517
45.47006,9.16529
45.49228,9.14895
45.46815,9.16077
45.43692,9.21528
45.44061,9.22036
45.49189,9.22979
45.44666,9.18737
45.49859,9.15307
45.46176,9.19346
45.4676,9.21979
45.46437,9.16769
