latitude,longitude
45.47631,9.20383
45.45851,9.1625
45.47353,9.21203
45.46074,9.23368
45.45889,9.20954
45.46419,9.17929
45.47821,9.18247
45.48354,9.18102
45.44805,9.19679
45.46503,9.15852
45.45041,9.20509
45.46892,9.21111
45.48158,9.17273
45.44298,9.18126
45.46618,9.15958
45.442,9.21368
45.46539,9.17387
45.47052,9.23671
45.49047,9.14813
45.4666,9.16059
45.45352,9.21629
45.47691,9.2148
45.45288,9.20409
45.47425,9.20896
45.44769,9.1819
45.45695,9.18998
45.49905,9.22177
45.45946,9.15181
45.4649,9.21844
45.46485,9.14924
45.48553,9.22989
45.46247,9.11335
45.49171,9.1462
45.44011,9.21568
45.5265,9.21493
45.45693,9.13608
45.4671,9.15267
45.46807,9.216
45.49257,9.15881
45.43882,9.18529
45.49129,9.14559
45.4788,9.16218
45.45985,9.21426
45.48764,9.17104
45.47914,9.19636
45.45131,9.20026
45.44859,9.2054
45.48508,9.21699
45.45848,9.16257
45.44132,9.19746
45.48855,9.17156
45.48249,9.20516
45.44457,9.15009
45.45071,9.20442
45.45593,9.1722
45.47375,9.20929
45.46883,9.20151
45.48892,9.22177
45.48337,9.2265
45.45276,9.17561
45.45685,9.21472
45.47474,9.21485
45.46491,9.16449
45.44676,9.17505
45.47092,9.20483
45.46008,9.16118
45.45089,9.15873
45.48088,9.18939
45.47781,9.17911
45.4484,9.17288
45.48643,9.17349
45.47768,9.18807
45.46337,9.20883
45.45037,9.1488
45.4615,9.13856
45.47374,9.196
45.46554,9.14684
45.4691,9.19039
45.44671,9.15614
45.47146,9.1923
45.45591,9.15505
45.48386,9.18018
45.46574,9.20717
45.4595,9.21285
45.47839,9.22252
45.49491,9.20121
45.45433,9.14911
45.47906,9.19955
45.47343,9.22417
45.46867,9.22464
45.47144,9.22898
45.48658,9.20027
45.50054,9.20436
45.48078,9.19779
45.46922,9.20857
45.47112,9.19207
45.49324,9.14908
45.4709,9.14071
45.47284,9.19152
45.44665,9.15621
45.43311,9.17922
45.43361,9.19925
45.47909,9.20634
45.48982,9.20506
45.45197,9.1468
45.47845,9.20012
45.46153,9.18383
45.46776,9.19217
45.4786,9.1679
45.46781,9.1783
45.48644,9.15183
45.50198,9.20239
45.47334,9.20403
45.48944,9.14937
45.50631,9.17828
45.44516,9.18565
45.45471,9.21807
45.47355,9.23271
45.48907,9.2215
45.46991,9.20681
45.46693,9.19619
45.46303,9.15586
45.48757,9.22468
45.45851,9.1625
45.47768,9.18807
45.47338,9.22883
45.44349,9.21664
45.46222,9.13295
45.47115,9.16708
45.47365,9.16569
45.46558,9.22564
45.47912,9.17405
45.46018,9.17765
45.47292,9.21297
45.46547,9.22151
45.48454,9.22768
45.5017,9.19403
