latitude,longitude
45.46241,9.27726
45.46241,9.27726
45.44473,9.21116
45.47103,9.23367
45.4796,9.1647
45.46107,9.18912
45.45983,9.16527
45.44087,9.18044
45.44199,9.21802
45.52619,9.21302
45.49094,9.2028
45.48028,9.1749
45.46119,9.15476
45.4853,9.23
45.48183,9.15989
45.45664,9.17642
45.48982,9.22371
45.47014,9.18258
45.41516,9.2075
45.46302,9.15634
45.46558,9.21763
45.46394,9.20742
45.47695,9.1954
45.49767,9.15442
45.45293,9.21221
45.44914,9.18236
45.46241,9.27726
45.44672,9.19611
45.49056,9.21085
45.47212,9.16685
45.45092,9.1984
45.49779,9.22132
45.4839,9.23347
45.48417,9.2055
45.45313,9.2137
45.45216,9.18224
45.46925,9.18508
45.47214,9.19278
45.46941,9.19975
45.44912,9.16278
45.46137,9.19117
45.4622,9.1946
45.46523,9.13415
45.48749,9.20252
45.47786,9.21087
45.47748,9.18869
45.46996,9.24532
45.48512,9.20656
45.47564,9.19565
45.44861,9.21658
45.44154,9.22482
45.48278,9.20203
45.48507,9.20781
45.48399,9.18194
45.49952,9.19571
45.47633,9.20174
45.46514,9.13542
45.43463,9.24148
45.45095,9.19705
45.47378,9.20918
45.50006,9.20923
45.45216,9.18224
45.48407,9.20428
45.48447,9.20472
45.49543,9.18116
45.47097,9.20678
45.45123,9.2182
45.47417,9.21226
45.48397,9.18296
45.48421,9.20446
45.47676,9.14429
45.46835,9.22318
45.48278,9.20203
45.44839,9.18969
45.49705,9.19225
45.45695,9.17533
45.48449,9.20472
45.47802,9.17634
45.45711,9.15262
45.48728,9.20357
45.47123,9.20186
45.46042,9.20769
45.47405,9.22129
45.47605,9.13901
45.46551,9.20808
45.44537,9.16096
45.48238,9.20667
45.4833,9.1809
45.46675,9.16571
45.46549,9.21409
45.43823,9.22904
45.45091,9.16554
45.4557,9.17387
45.46618,9.20609
45.48598,9.22059
45.44893,9.17444
45.46695,9.23074
45.46247,9.18984
45.46702,9.16923
45.45443,9.16348
45.47793,9.16752
45.45812,9.206
45.46486,9.20301
45.47142,9.21822
45.4796,9.1647
45.45223,9.1827
45.49299,9.15115
45.45088,9.21523
45.45319,9.16101
45.47306,9.15969
45.48401,9.17635
45.46872,9.19026
45.46655,9.20712
45.46126,9.19064
45.45091,9.16554
45.4502,9.19036
45.44787,9.21572
45.45954,9.21422
45.45285,9.16605
45.45143,9.2095
45.45503,9.20837
45.48127,9.22169
45.48415,9.22507
45.48466,9.1329
45.4621,9.23138
45.45038,9.21379
45.46466,9.2266
45.45389,9.16611
45.46379,9.22782
45.45504,9.19213
45.46069,9.22531
45.48455,9.20498
45.45887,9.18786
45.48095,9.18344
45.48231,9.19375
45.49734,9.16459
45.49461,9.19164
45.44152,9.15224
45.52619,9.21302
45.46768,9.23233
45.43975,9.21344
45.45552,9.21136
45.503,9.17248
45.46019,9.17687
45.45835,9.17792
45.45428,9.17311
45.4754,9.18534
45.50481,9.17588
45.46,9.17373
45.47824,9.1447
45.4843,9.20448
45.46655,9.21969
45.46486,9.20301
45.45812,9.206
45.48213,9.18831
45.46758,9.15508
45.4585,9.17737
45.45567,9.16893
45.47214,9.19278
45.48293,9.18475
45.45599,9.16478
45.44888,9.20335
45.47785,9.11546
45.48021,9.19616
45.48108,9.16774
45.44462,9.14998
45.47896,9.18849
45.4782,9.20117
45.45544,9.21416
45.47405,9.22129
45.49125,9.18146
45.46402,9.16824
45.44325,9.16622
45.48556,9.19431
45.46126,9.1362
45.45091,9.16554
45.47586,9.20486
45.48045,9.20248
45.48074,9.17058
45.46843,9.22157
45.44548,9.17289
45.48982,9.22371
45.48459,9.20536
45.45315,9.17209
45.47929,9.21371
45.47563,9.13244
45.46865,9.18354
45.44399,9.2141
45.44951,9.16456
45.48675,9.19847
45.47041,9.19766
45.47564,9.19565
45.46669,9.1695
45.46297,9.20359
45.4417,9.15349
45.49769,9.19536
45.45044,9.14792
45.46865,9.15554
45.446,9.15235
45.48444,9.2047
45.51075,9.20683
45.46929,9.22245
45.4877,9.24222
45.4778,9.2192
45.44777,9.19969
45.46129,9.2068
45.45389,9.16619
45.4621,9.23115
45.46133,9.17493
45.47971,9.18883
45.46842,9.20861
45.4574,9.153
45.46035,9.22365
45.4621,9.23138
45.46667,9.15163
45.47244,9.11984
45.45257,9.16543
45.49101,9.15228
45.46293,9.16993
45.44787,9.21572
45.47837,9.19229
45.45191,9.16339
45.48777,9.20879
45.45777,9.13605
45.47091,9.22162
45.50297,9.16
45.47001,9.20674
45.49627,9.21966
45.48543,9.20685
45.48041,9.178
45.46846,9.20597
45.4723,9.21942
45.50454,9.17793
45.46071,9.22503
45.45892,9.17906
45.4742,9.14555
45.48802,9.16426
45.47264,9.18593
45.48377,9.18518
45.46278,9.19587
45.51848,9.22622
45.4655,9.20407
45.49878,9.14575
45.46353,9.17279
